Year,Month,Reservoir water level on start of month (m),Effective gross storage on start on month (Mcum),%effective gross storage,Release for BMC/TMC other through power house (Mcum),%release for BMC/TMC,Release through escape gate,%release through escape gate,Release for irrigation through canal (Mcum),%release for irrigation,Release through spillway river (Mcum),%release through spillway,Leakage through gallery (Mcum),%leakage through gallery,Total release (Mcum) ,Reservoir evaporation on losses (Mcum),Other measured Leakages (Mcum),Reservoir water level on end of month (m),Gross storage on end of month (Mcum),%gross storage at the end of month,Calculated inflow of month (Mcum),
2002,Jun-02,107.3,289.48,29.657,31.8,99.687,16.555,34.166,0,0,0,0,0.1,0.313,48.455,1.116,0,117.8,444.639,45.553,188.175,
2002,Jul-02,118.25,452.162,46.323,11.7,98.776,10.384,46.713,0,0,0,0,0.145,1.224,22.229,19.426,0,122.2,521.59,53.436,100.699,
2002,Aug-02,122.25,522.517,53.531,0,0,7.979,22.135,0,0,18.38,65.486,9.687,34.514,36.046,1.335,0,133.55,758.753,77.733,265.638,
2002,Sep-02,133.6,759.925,77.853,13.1,11.796,8.913,7.43,0,0,89.889,80.942,8.065,7.262,119.967,1.674,0,132.65,737.818,75.588,90.621,
2002,Oct-02,132.6,736.669,75.471,28.7,56.981,11.76,18.929,19.4,38.517,0,0,2.268,4.503,62.128,13.083,0,130.5,689.371,70.625,16.153,
2002,Nov-02,130.4,687.174,70.4,45,98.834,12.147,21.06,0,0,0,0,0.531,1.166,57.678,13.957,0,127.74,630.145,64.557,2.459,
2002,Dec-02,127.65,628.281,64.366,46,92.286,10.855,17.883,3.54,7.102,0,0,0.305,0.612,60.7,13.927,0,124.6,567.004,58.089,2.495,
2003,Jan-03,124.47,564.482,57.83,44.6,74.051,12.054,16.676,14.596,24.234,0,0,1.033,1.715,72.283,3.618,0,121.02,500.143,51.239,0,
2003,Feb-03,120.9,498.021,51.022,38.1,75.395,9.474,15.788,11.708,23.169,0,0,0.726,1.437,60.008,4.04,0,117.75,443.814,45.468,0.367,
2003,Mar-03,117.6,441.339,45.215,46.7,65.622,8.087,10.204,24.1,33.865,0,0,0.365,0.513,79.252,13.31,0,113.44,375.787,38.499,18.923,
2003,Apr-03,113.3,373.679,38.283,41.6,73.181,8.114,12.491,14.865,26.15,0,0,0.38,0.668,64.959,14.454,0,109.08,313.284,32.095,10.904,
2003,May-03,108.96,311.63,31.926,45.1,84.539,14.683,21.583,7.8,14.621,0,0,0.448,0.84,68.031,14.571,0,104.34,252.063,25.823,8.352,
2003,Jun-03,104.18,250.064,25.619,25.6,99.611,15.123,37.045,0,0,0,0,0.1,0.389,40.823,1.116,0,106.85,283.599,29.054,60.351,
2003,Jul-03,107.45,291.455,29.859,0,0,8.442,98.311,0,0,0,0,0.145,100,8.587,19.426,0,127.6,627.724,64.309,355.84,
